confirmed?,year,start date,end date,city,country,show,venue,lat,long,Distance (km),lat (live),long (live),compute lat?,,compute long?
yes,10-Jul-1905,1/2/2018,8-Jan-2018,Deptford,UK,,The Albany,51.4815584,-0.0264139,,51.4815584,-0.0264139,1,2.266838,1
yes,,1/8/2018,13-Jan-2018,Birmingham,UK,,Spring Tech Week,52.486243,-1.890401,170,52.486243,-1.890401,1,,1
no,,,,Romainville,France,,(home),48.886112,2.435048,503,FALSE,FALSE,,,
yes,,1/15/2018,16-Jan-2018,Poole,UK,Sigma,London International Mime Festival,50.71505,-1.987248,377,FALSE,FALSE,,,
yes,,2/4/2018,4-Feb-2018,Verrières Le Buisson,France,Smashed,Théâtre,48.746318,2.266838,376,FALSE,FALSE,,,
no,,,,Romainville,France,,(home),48.886112,2.435048,20,FALSE,FALSE,,,
yes,,2/7/2018,8-Feb-2018,Cambridge,UK,Spring,Junction,52.205337,0.121817,404,FALSE,FALSE,,,
yes,,2/9/2018,9-Feb-2018,Dourdan,France,4x4,,48.529171,2.0152549,430,FALSE,FALSE,,,
yes,,2/10/2018,10-Feb-2018,Fleury les Aubrais,France,4x4,,47.931513,1.920754,67,FALSE,FALSE,,,
yes,,2/11/2018,11-Feb-2018,Morges,France,,,46.5088127,6.4961301,380,FALSE,FALSE,,,
no,,,,Romainville,France,,(home),48.886112,2.435048,403,FALSE,FALSE,,,
yes,,2/13/2018,13-Feb-2018,Elancourt,France,Smashed,,48.782907,1.960077,37,FALSE,FALSE,,,
no,,,,Romainville,France,,(home),48.886112,2.435048,37,FALSE,2.435048,,,1
yes,,2/15/2018,16-Feb-2018,St. Ouen,France,4x4,,48.911856,2.333764,8,FALSE,FALSE,,,
yes,,2/17/2018,17-Feb-2018,Salford Quays,UK,Smashed,The Lowry,53.4709479,-2.2938968,601,FALSE,FALSE,,,
no,,,,Romainville,France,,(home),48.886112,2.435048,607,FALSE,FALSE,,,
yes,,2/22/2018,22-Feb-2018,Luxembourg,Luxembourg,4x4,,49.815273,6.129583,287,FALSE,FALSE,,,
no,,,,Romainville,France,,(home),48.886112,2.435048,287,FALSE,FALSE,,,
yes,,2/24/2018,25-Feb-2018,Illkirch,France,4x4,,48.52854,7.711011,389,FALSE,FALSE,,,
no,,,,Romainville,France,,(home),48.886112,2.435048,389,FALSE,FALSE,,,
yes,,3/3/2018,3-Mar-2018,Ribeauvillé,France,Smashed,,48.194668,7.319091,368,FALSE,FALSE,,,
no,,,,Romainville,France,,(home),48.886112,2.435048,368,FALSE,FALSE,,,
yes,,4/9/2018,11-Apr-2018,London,UK,Spring (rehearsals),,51.5073509,-0.1277583,344,FALSE,FALSE,,,
yes,,4/12/2018,12-Apr-2018,London,UK,Spring,Arts Depot,51.5073509,-0.1277583,0,FALSE,FALSE,,,
no,,,,Romainville,France,,(home),48.886112,2.435048,344,FALSE,FALSE,,,
yes,,4/16/2018,20-Apr-2018,Rouen,France,Spring,Opéra,49.443232,1.099971,115,FALSE,FALSE,,,
no,,,,Romainville,France,,(home),48.886112,2.435048,115,FALSE,FALSE,,,
yes,,5/11/2018,11-May-2018,Pontio Wales,UK,Spring,,53.2274968,-4.1300684,665,FALSE,FALSE,,,
yes,,5/22/2018,22-May-2018,Norwich Norfolk,UK,Sigma,,52.6308859,1.297355,370,FALSE,FALSE,,,
no,,,,Romainville,France,,(home),48.886112,2.435048,424,FALSE,FALSE,,,
yes,,6/4/2018,4-Jun-2018,Oxford,UK,Spring,,51.7520209,-1.2577263,413,51.7520209,-1.2577263,1,,1
no,,,,Romainville,France,,(home),48.886112,2.435048,413,FALSE,FALSE,,,
yes,,6/6/2018,6-Jun-2018,Bangkok,Thailand,Hermès,Hermès,13.7563309,100.5017651,9436,FALSE,FALSE,,,
no,,,,Romainville,France,,(home),48.886112,2.435048,9436,FALSE,FALSE,,,
yes,,7/5/2018,6-Jul-2018,Saint-Etienne,France,Spring,Festival des 7 Collines,45.439695,4.3871779,411,FALSE,FALSE,,,
no,,,,Romainville,France,,(home),48.886112,2.435048,411,FALSE,FALSE,,,
yes,,7/11/2018,11-Jul-2018,Las Palmas de Gran Canaria,Spain,4x4,Temudas Festival,28.1235459,-15.4362574,2768,FALSE,FALSE,,,
no,,,,Romainville,France,,(home),48.886112,2.435048,2768,FALSE,FALSE,,,
yes,,7/14/2018,17-Jul-2018,Ghent,Belgium,Sigma,Miramiro Festival,51.0543422,3.7174243,258,FALSE,FALSE,,,
no,,,,Romainville,France,,(home),48.886112,2.435048,258,FALSE,FALSE,,,
yes,,7/27/2018,27-Jul-2018,London,UK,18-20 (rehearsal),,51.5073509,-0.1277583,344,FALSE,FALSE,,,
yes,,7/28/2018,28-Jul-2018,Brentford,UK,Sigma,Watermans Art Center,51.486073,-0.3101169,13,FALSE,FALSE,,,
no,,,,Romainville,France,,(home),48.886112,2.435048,349,FALSE,FALSE,,,
yes,,8/3/2018,5-Aug-2018,St. Petersburg,Russia,Smashed,International Street Theaters Festival Elagin Park,59.9342802,30.3350986,2158,FALSE,FALSE,,,
no,,,,Romainville,France,,(home),48.886112,2.435048,2158,FALSE,FALSE,,,
yes,,9/1/2018,2-Sep-2018,Hull,UK,Smashed,Freedom Festival Arts Trust,53.7456709,-0.3367413,574,FALSE,FALSE,,,
no,,,,Romainville,France,,(home),48.886112,2.435048,574,FALSE,FALSE,,,
yes,,9/6/2018,6-Sep-2018,Leeds,UK,Sigma,The Carriage Works,53.8007554,-1.5490774,612,FALSE,FALSE,,,
yes,,9/7/2018,7-Sep-2018,Halifax,UK,Sigma,Square Chapel Arts Center,53.72702,-1.85754,22,53.72702,-1.85754,1,,1
no,,,,Romainville,France,,(home),48.886112,2.435048,615,FALSE,FALSE,,,
yes,,9/21/2018,22-Sep-2018,Deptford,UK,Sigma,The Albany,51.4815584,-0.0264139,338,51.4815584,-0.0264139,1,,1
no,,,,Romainville,France,,(home),48.886112,2.435048,338,FALSE,FALSE,,,
yes,,9/26/2018,26-Sep-2018,Leverkusen,Germany,Spring,,51.0459248,7.0192196,406,FALSE,FALSE,,,
no,,,,Romainville,France,,(home),48.886112,2.435048,406,FALSE,FALSE,,,
yes,,9/29/2018,29-Sep-2018,Letchworth Garden City,UK,Sigma,The Broadway,51.979074,-0.226624,392,FALSE,FALSE,,,
no,,,,Romainville,France,,(home),48.886112,2.435048,392,FALSE,FALSE,,,
yes,,10/6/2018,6-Oct-2018,Paris,France,Nuit Blanche,Theatre du Rond Point,48.856614,2.3522219,7,FALSE,FALSE,,,
no,,,,Romainville,France,,(home),48.886112,2.435048,7,FALSE,FALSE,,,
yes,,10/27/2018,27-Oct-2018,A Coruna,Spain,Smashed,Teatro Colon,43.3623436,-8.4115401,1036,FALSE,FALSE,,,
no,,,,Romainville,France,,(home),48.886112,2.435048,1036,FALSE,FALSE,,,
yes,,11/1/2018,1-Nov-2018,Barnsley,UK,Sigma,Barnsley Civic,53.55263,-1.479726,586,FALSE,FALSE,,,
no,,,,Romainville,France,,(home),48.886112,2.435048,586,FALSE,FALSE,,,
yes,,11/8/2018,8-Nov-2018,Poole,UK,Sigma,Lighthouse,50.71505,-1.987248,377,FALSE,FALSE,,,
no,,,,Romainville,France,,(home),48.886112,2.435048,377,FALSE,FALSE,,,
yes,,11/16/2018,17-Nov-2018,Ile de la Réunion,France,Smashed,,-21.115141,55.536384,9389,FALSE,FALSE,,,
no,,,,Romainville,France,,(home),48.886112,2.435048,9389,FALSE,FALSE,,,
yes,,11/25/2018,25-Nov-2018,Venaria Reale,Italia,Sigma,Teatro della Concordia,45.1437329,7.6232892,572,FALSE,FALSE,,,
no,,,,Romainville,France,,(home),48.886112,2.435048,572,FALSE,FALSE,,,
yes,,11/27/2018,27-Nov-2018,Salford Quays,UK,Smashed,The Lowry,53.4709479,-2.2938968,607,FALSE,FALSE,,,
no,,,,Romainville,France,,(home),48.886112,2.435048,607,FALSE,FALSE,,,
yes,,11/29/2018,29-Nov-2018,Derby,UK,Sigma,Déda,52.9225301,-1.4746186,526,52.9225301,-1.4746186,1,,1
yes,,11/30/2018,30-Nov-2018,La Corneuve,France,Spring,Maison de Jonglage,48.9320252,2.3990819,520,FALSE,FALSE,,,
yes,,12/1/2018,2-Dec-2018,Genève,Switzerland,Spring,,46.2043907,6.1431577,413,FALSE,FALSE,,,
no,,,,Romainville,France,,(home),48.886112,2.435048,408,FALSE,FALSE,,,
yes,,12/5/2018,5-Dec-2018,Cébazat,France,Smashed,Sémaphore,45.831268,3.100247,343,FALSE,FALSE,,,
no,,,,Romainville,France,,(home),48.886112,2.435048,343,FALSE,FALSE,,,
yes,,12/8/2018,8-Dec-2018,Lancaster,UK,Sigma,Nuffield Arts Center,54.046575,-2.8007399,678,54.046575,-2.8007399,1,,1
no,,,,Romainville,France,,(home),48.886112,2.435048,678,FALSE,FALSE,,,
yes,,12/13/2018,16-Dec-2018,Montclair,USA,Smashed,Alexander Kasser Theater,40.8259007,-74.2090053,5848,FALSE,FALSE,,,
no,,,,Romainville,France,,(home),48.886112,2.435048,5848,FALSE,FALSE,,,
yes,,12/22/2018,26-Dec-2018,Hong Kong,China,Sigma,Tai Kwun Centre for Heritage and Arts,22.396428,114.109497,9609,FALSE,FALSE,,,
no,,,,Romainville,France,,(home),48.886112,2.435048,9609,FALSE,FALSE,,,
yes,,12/30/2018,31-Dec-2018,Lörrach,Germany,Spring,,47.6169191,7.6709248,412,FALSE,FALSE,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,105528,,,,,